优先级,状态,任务,相关反馈,期望效果,已修复,,,,,,,,,,,,,
影响体验,待设计,优化新手引导与流程,"流程混乱，对话节奏差。任务逻辑靠""运气""而非设计完成(例如缺少关键指引)。","让玩家在前期清楚理解出门采集、回家制作、推进任务的顺序与目的，不再因缺少关键指引而卡关，也能自然理解室内外玩法的关系。",,,,,,,,,,,,,,
,,,"室外是压抑、看不清(迷雾过浓)、找不到资源的""生存游戏"";室内却是简单加""舒适度""数值的""家园游戏”。二者毫无逻辑关联，体验极其怪异。",,,,,,,,,,,,,,,
,,,"找不到工作台        ""采集完2块原木回家后，让我在工作台制作吊床，但我找不到工作台 ",,,,,,,,,,,,,,,
影响体验,待设计,优化图鉴UI,工作台只在右上角的引导中出现过文字，但游戏内UI用的是《图鉴》的称呼，两处不一致，也导致了这个问题。,"统一""工作台/图鉴""的命名与入口认知，并通过分类、排序和名称展示，让玩家能按引导顺序快速找到可制作内容与目标家具。",,,,,,,,,,,,,,
,,,一般，SOC游戏都会给可以制作的内容做科技树，或进行更明确的分类。在家具制造环节，也可以给《图鉴》制作类似的页签功能，并按照引导和解锁的顺序给家具进行排列，从而避免“找不到工作台”的问题。,,,,,,,,,,,,,,,
,,,工作台内的物品建议增加名称展示，吊床我也翻了两遍才找到,,,,,,,,,,,,,,,
损害功能,待设计,增加蓝图？,工作台内的物品建议增加名称展示，吊床我也翻了两遍才找到,"在正式制作前先暴露目标家具的名称、用途与解锁路径，降低翻找成本，让玩家明确下一步要做什么、去哪里做。",,,,,,,,,,,,,,
影响体验,待修改,增加放大缩小的功能,人很大，家里空间以及家具很小，屋子的感觉很逼仄，绝大多数家装都会被遮挡住，体验感不是很好,"允许玩家调整家园视角尺度，缓解空间逼仄和家具遮挡问题，提升观察、摆放和整体装修体验。",,,,,,,,,,,,,,
影响体验,待修改,装修的时候隐藏人物；,人很大，家里空间以及家具很小，屋子的感觉很逼仄，绝大多数家装都会被遮挡住，体验感不是很好,"进入装修态后隐藏或弱化人物与高频干扰元素，让玩家专注观察空间布局和家具效果，减少遮挡与压迫感。",,,,,,,,,,,,,,
,,,小动物一直在家里，感觉逼仄 & 反馈太频繁,,,,,,,,,,,,,,,
损害功能,待修改,优化人物渲染层级判断,建议严格按照角色脚所在位置进行层级判定,"角色与家具、场景的前后遮挡关系稳定可信，减少穿插错误和视觉违和，保证空间层次判断符合直觉。",,,,,,,,,,,,,,
影响体验,完成修改,增加落脚点面积显示,家具摆不到想要摆的位置,"明确反馈家具可放置区域与占地范围，降低反复试摆成本，提高摆放成功率和装修操作确定性。",,,,,,,,,,,,,,
,,,视野系统(潜行/监视圈        机制生硬，,,,,,,,,,,,,,,,
影响体验,待设计,优化视野系统和剧情之间的协调,"NPC在固定圈内触发的设计过于“游戏化""，破坏沉浸感。两个圈圈的UI也很出戏。","把潜行、监视与剧情触发自然融入场景语境，减少生硬的圈层 UI 提示，保留压力感的同时不破坏沉浸。",,,,,,,,,,,,,,
损害功能,待设计,重做野外地图,"碰撞与物理        基础碰撞存在严重BUG，随处可见""素材与碰撞不匹配”的情况(穿模、卡住、看似能走却撞墙)。","修正碰撞、边界与素材表现的一致性，提升地形可读性和探索可靠性，让玩家明确哪里能走、能藏、能采集。",,,,,,,,,,,,,,
,,,地图可读性差        哪里是能进的草丛，哪里是地形边缘，分不清,,,,,,,,,,,,,,,
,,,"迷雾浓度过高，严重妨碍探索。但“半透明""的设想其实有潜力成为美学亮点。",,,,,,,,,,,,,,,
,,,资源点散乱，缺乏逻辑。找不到关键资源(原木、树枝)，且分布不与任何玩法挂钩。,,,,,,,,,,,,,,,
影响体验,待设计,补充地图路径引导（土路、地标、UI指引、小地图）,完全找不到路，地图/引导缺失。出门后找不到家，任务目标(原木、树枝)不知有何用。基础操作(奔跑)不清楚，且有精力条限制增加无意义烦躁。,"用道路、地标、任务指引和地图信息建立稳定导航，让玩家能辨认家、目标点和关键资源，并理解基础操作与外出目标。",,,,,,,,,,,,,,
,,,"地图引导缺失        ""在探索中，明确的路径上有怪物把守，而M键地图功能缺失，玩家不知道去哪里，引导几乎没有，玩家会像没头苍蝇一样乱撞。",,,,,,,,,,,,,,,
,,,"场景""不知道哪里是哪里""，缺乏地标、清晰的路径分叉或视觉引导。",,,,,,,,,,,,,,,
影响体验,待设计,优化怪物AI，营造动态潜行感受,"怪物""根本不动""，没有巡逻路径，没有压力，无法提供""生存感”。","让怪物具备巡逻、搜索与基础近身警戒，持续制造可预判的潜行压力，而不是静止摆设。",,,,,,,,,,,,,,
,,,怪物缺少自身周围的圆形视野        几乎可以贴身从怪物身边擦过，体验有点奇怪,,,,,,,,,,,,,,,
损害功能,待设计,补全核心循环,生存循环        资源+压力+回家的循环断裂。出门没有目标感(原木用途不明)，生存压力缺失(怪物无威胁)，回家没有回报感(舒适度系统与生存割裂)。,"建立""出门采集 -> 规避威胁 -> 带资源回家 -> 解锁制作与舒适收益""的闭环，让每次外出都有明确目标、风险和回报。",,,,,,,,,,,,,,
