位置,主线章节,活动简述,玩家机制,玩家目标,设计目标,情绪节拍,遇到的角色/敌人,遇到的物体,需要的其他资产,音频笔记,视觉效果笔记,,,,,,,,
野外安全区,序章,"【剧情】主角从野外醒来
在空地自由走动",走路,探索游戏操作、互动,让玩家学会行走操作,好奇、期待,,,,,,,,,,,,,
,,采集点互动，采集品进入背包,"走路；
采集",探索游戏,引导玩家采集，让玩家了解采集点的交互方式，让玩家了解背包的操作,好奇,,,,,,,,,,,,,
,,有怪物看守的宝箱，潜行开宝箱,"走路；
采集；开宝箱；
冲刺",获取宝物,"引导玩家了解怪物机制，了解宝箱互动方式；
引导玩家学会冲刺",紧张、谨慎,基础怪物,,,,,,,,,,,,
,,"【剧情】发现被怪物包围的水獭哥哥
引开怪物，在追逐战中逃脱","走路；
采集；开宝箱；
冲刺",解救水獭哥哥,"向玩家展示追逐战；
改变游戏节奏",紧张、刺激、专注,,,,,,,,,,,,,
,,"回到原位置附近，找到水獭哥哥
【剧情】水獭哥哥感谢，提出找地方避难/休息","走路；
采集；开宝箱；
冲刺",解救水獭哥哥,给玩家成功逃脱的成就感，推进剧情,自豪、满足,水獭哥哥,,,,,,,,,,,,
,,探索地图，寻找避难所,"走路；
采集；开宝箱；
冲刺",探索地图；收集物品,让玩家自由体验地图，向玩家展示安全区域地图,好奇、谨慎,,,,,,,,,,,,,
野外->家园,,【剧情】找到避难所，跟水獭哥哥一起进入,无,观察事态发展、静待游戏的呈现,引入家园,好奇,无,家园传送点,过场动画,,,,,,,,,,
家园,第一章,"【剧情】水獭哥哥需要房子
【任务】建造床",无,观察事态发展、静待游戏的呈现,给玩家一个建造房子的理由,平静,水獭哥哥,"水獭对话界面；
初始小屋内部",,,,,,,,,,,
,,建造床（查看材料）,"走路；
制造；",给水獭哥哥建造小窝，完成任务,让玩家学会家具制造，理解制造的界面和机制,平静,水獭哥哥,工作台,,,,,,,,,,,
野外,,探索获取床的材料,"走路；
采集；开宝箱；
冲刺；","收集到足够素材来建造床，完成任务；
探索新区域；
获取稀有物品","让玩家熟悉野外的机制；
让玩家初步体会到野外探索的乐趣；",好奇、激动、专注,无,,,,,,,,,,,,
家园,,建造床（实际建造）,"走路；
制造；",给水獭哥哥建造小窝，完成任务,让玩家完成第一次建造，熟悉流程,满足,水獭哥哥,工作台,制造物品房动画（第一次类似戴夫），后面直接跳转,,,,,,,,,,
,,摆放床,"走路；
制造；
摆放；",给水獭哥哥建造小窝，完成任务,教玩家家园装修的操作,满足,水獭哥哥,装修界面（工作台）,,,,,,,,,,,
,,【剧情】水獭哥哥感谢,无,观察水獭哥哥对自己行为的反应,表扬玩家的前序行动，给情绪价值，加强正反馈,成就感、开心,水獭哥哥,水獭对话界面,红点指引（对话/动画）,,,,,,,,,,
家园,第二章,"【剧情】水獭哥哥提出新需求
【任务】达成舒适度",无,等待观察游戏接下来的进展,"给玩家动力继续深入体验游戏；
引入舒适度机制",平静,水獭哥哥,水獭对话界面,红点指引（对话/动画）,,,,,,,,,,
